Dr. W.P. Bauer (Collected by Bettina Leopoldo),1
 Sue Gatenby,1
Sue Gatenby; Maruku Arts & Crafts ,1
Lesley Bone,1
Larry Dawson,1
Sue Gatenby (Collected by W.E. Roth),1
J. Portell,1
"U.S.Customs Lab, Long Beach
",1
Z.  Pinney,1
Theodoros Daris & Co.,1
L. Souza,1
Lascaux,1
F. Pique-Hamilton Kerr Inst.,1
P.A.J. Gorin - UFPR,1
Twiggs Co.,1
JPGM (C. Stavroudis),1
L. Souza ?,1
E. Ordonez - Mus. of Mod. Art,1
possibly Kremer,1
Qld. Department of Forestry,1
L. Cornilessen & Son,1
Conservation Support Systems,1
J. Raphael,1
M. Bishop,1
J. Komsky,1
L. Cornelissen & Son C. ,1
Constantino Reyes Valerio,1
RAINPEG,1
Walgreens,1
"B&H Photo-VIdeo-Pro Audio, Inc.",1
Vons ,1
Pearl Art and Craft Supply ,1
Fred Aldous Ltd,1
Martz Paper Company,1
"Tong Ren Tang Pharmacy, Beijing",1
"Dept. store on Wangfujing St., Beijing",1
"Bent Eshol, Royal Danish Academy of Fine Arts",1
"Farm in Dunhuang, China",1
"West Hills, CA",1
"Caribou Mine, Boulder, Co",1
Israel Museum,1
Dakota Matrix Minerals,1
