Hercules Powder Co. Inc.,2
"Advance Solvents & Chemical, Corp.",2
Advance Solvents & Chemical Corp.,2
S.B. Penick & Company,2
Waterproof Paint & Varnish Co.,2
"Hopkin & Williams, Ltd.",2
Ploton,2
"Baird & Tatlock, Ltd.",2
"Hadassa Export Company, Ltd.",2
Berk Ltd.,2
Martin / F. Weber Co.,2
Lefranc & Bourgeios,2
Hunt,2
Asahi Kusakabe,2
Pictor,2
Acrilex Tintas Especias S/A,2
"Kremer-Pigmente
",2
J. P. Stephenson Artists' Colourman,2
"Goya, C. Kreul",2
A.B.C.,2
Easy Leaf ,2
Picreator Renaissance Products,2
Hero,2
City Chemical Corporation,2
CIBA - GEIGY Corporation ,2
Union Carbide,2
Roberson  & Company,2
Hatfield,2
Wadsworth Howland,2
Newman?,2
Buchner,2
Glyco Products Company,2
Jojoba Obispo,2
Kalle,2
Binney & Smith (Liquitex),2
Delta Tech. Coatings (for Shiva),2
Arakawa Chemical,2
A.F. Suter & Co. (wax),2
Da Vinci,2
"Indio Products, Inc.",2
Air Products and Chemicals,2
"ICI Americas, Inc. (Uniqema)",2
ICI Americas (Uniqema),2
J.P. Stephenson,2
Minox,2
Ilford ,2
3M Italia S.P.A.,2
Ilford Limited,2
Forte Photochemical Co.,2
FORTE Photochemical Co.,2
Ilford Imaging Switzerland,2
Martin F. Weber Co.,2
Rota,2
Alphacolor,2
Fotospeed,2
Ilford Photo SA,2
Ilford Anitec SA,2
Kodak ,2
Agfa Photo ,2
Foma,2
"Ilford Limited, London",2
"China Anhui Ink ""Xin Xian, Lao Hu Kaiwen"" Ink factory",2
Yasutomo,2
Ilford,2
Forte,2
Dalco ,2
Kromachen,2
Dominion (Canada),2
Toyo Ink,2
Brico,2
Cornelissen,2
Dianippon,2
Rohm and Haas Co.,2
Manufacturer,1
"McCormick & Company, Inc.",1
"Ward’s Natural Science Establishment, Inc.",1
Devoe,1
Hatfield's Color Shop Inc.,1
"Ladco Laboratories, Inc.",1
Nujol,1
Whiteworth,1
Loriva,1
Sigma Chemical Company  ,1
Block X,1
Schilling,1
Pompeian Brand,1
"Artist's Choice; Riley Bower, Inc. ",1
Mino,1
Grumbacher ,1
Robert Gamblin,1
Beecham Products,1
"Osco Drug, Inc.",1
"George Rowney & Co., Ltd",1
Lechertier  Barbe Ltd.,1
"Younghusband Stephens & Co., Ltd--Barking & Rotherhithe",1
Florasil Produtos Vegetais Farmaceuticos Ltda.,1
Ninon,1
M. H. Horowitz,1
Reichard-Coulston,1
Pohlmeyer Inc.,1
Bibbienna,1
by Laurie,1
prepared by P A  Hodges,1
Kremer-PIgmente,1
Bender Hobein ,1
"Laboratory Chemicals, Frank W. Joel / Bishop''s Stortford / Harts, England",1
"Permutit Company, New York",1
Hercules Powder Co. Inc. ,1
"Kopps Company  Incorporated
(Chem Div PGH19PA)",1
"Carbide & Carbon Chem.,Corp",1
GAF Corp.,1
E. I. du Pont de Nemours & Co.,1
Merrimac Chemical Company,1
Elmer & Ament,1
Billings & Stover,1
G.H. Links Company,1
G.F. Links Company,1
O.G. Innes Corporation,1
Fisher ,1
Peabody Museum of Archaeology & Ehtnology,1
"Roberson  & Company, Ltd.",1
G.H. Lincks Company ,1
Chardin,1
B.D.H.,1
Hopkin & Williamson,1
"Hopkins Pwais & Son, Ltd.",1
"Lechertier Barbe, Ltd.",1
Harrington Brothers,1
Vateria Copalifers,1
Fleischman,1
Jethabhai Hirji & Company ,1
Sudan Import and Export Co.,1
Sudan Import & Export (Khartoum) Ltd.,1
Sudan Import & Export Co.,1
O.G. Innes Company,1
Societa Commissionaria di Esportazione,1
Johannes & Co. (Private) Ltd.,1
Arathoon Sons,1
Blue Record Regularly,1
LIquitex,1
Siphon,1
Le Franc & Bourgeois,1
Renaissance Oil Painting Mediums,1
Great Lakes Artist Materials Corporation,1
Schachinger,1
H. Schmincke,1
H.  Schminke & Company,1
Bocour Artsit Colors Inc.,1
Borden Inc.,1
Syntezia,1
Sté des Produits Chimiques ,1
"Royal Crown Enterprises, Inc.",1
City Chemical Corporation ,1
Clapham's Beeswax Products Ltd,1
"Conservation  Materials, Ltd.",1
Chaparral Mountain Honey Co.,1
S.A.M. Monowar Jahan,1
The Hygenic Corporation,1
"Gane Brothers & Lane, Inc.",1
CPC Int'l Inc. (successor to T. Kingsford & Son),1
Honey Lady,1
J. T. Baker Inc.,1
Royal,1
S.E. Rykoff & Company,1
Serva  Feinbiochemica ,1
SueBee,1
Superior Honey,1
Tropical Apiary,1
GmbH & Company,1
Pianamiele,1
Breitsamer Reineimkerspezialitaten,1
Baxters,1
"Borden, Inc.",1
"Verfmolen 'De Kat""",1
Amend Drug & Chemical Co.,1
Buehler Ltd.,1
Utrecht Artists' Materials,1
Fezandie &Sperile,1
Talens Series 5,1
Conservation Materials Ltd.,1
Sherwin Williams Chemicals,1
Spencer Kellogg Division of Textron Inc.,1
"SPI Supplies
(Div. of Structure Probe Inc.)",1
"Wei T'o Associates, Inc.",1
Dow Chemical Company ,1
"Lechertier Barje, Ltd.",1
Sabáo Aristolino,1
Spilbeck,1
Scuea  Buonamici,1
Bibbiena ,1
Fesandie and Sperrie Inc.,1
Hatfield ,1
Buonamici  ,1
Designers Dry Colors  ,1
Baker Chemical Company,1
Buonamici ,1
C and P Co ,1
Castelfranco,1
Fezandie,1
 Hull,1
J. Klipstein & Co.,1
Merck ,1
N.J. Zinc Company,1
Rowney & Company,1
Samuel Cabot Incorporated,1
Trimount,1
Wadsworth Howland ,1
Winsor & Newton  ,1
"Stanley & Doggett, Inc.",1
T. Hollis,1
Newman  ,1
Chemical & Pigment Co.,1
Buonamici,1
Tizian Color Co.,1
Wadsworth and Howland ,1
Newman ,1
Binney & Smith Co.,1
Fezandie and Sperrle; H Zimmerman,1
Schumacher & Cie,1
Paciosi  ,1
Masury,1
"Reeves and Sons, Ltd.",1
J D Penberthy,1
Wadsworth & Howland,1
ROUGIE ,1
Norganic,1
Americana Goods returned,1
Imported by Samrak Chemical Div.,1
Knox Gelatine Inc.,1
"Meer Corp, Order #P-50599",1
Wight & Arn,1
Gleck & Company,1
BeeCee Honey Co. ,1
Carbide & Carbon Chemical Co.,1
E I du Pont de Nemours & Co.,1
Overtone Labs for Durachem,1
Duroxan,1
Overton Labs for Durachem,1
Behlen,1
"Cerratonia, SA; (Imported by Dycol Chemicals Inc.)",1
"Ceratonia, S.A.; (Imported by Dycol Chemicals Inc.)",1
"Hadassa Export Company, Ltd.; (Imported by:  Hathaway Allied Products)",1
A. Portman; (Imported by: Seed and Feeder Co.),1
"Roy. Trop. Inst., Amsterdam",1
"Watts, Ltd., 1952",1
Stafford Allen & Sons; (Imported by CA Compack Foods Inc),1
Bryan W. Brown A. en P.,1
Heng Produce,1
"Leon Frenkel, Ltd.",1
"Col. Rod. Adv. Bureau, Imp.Inst.",1
"Watts, Ltd. ",1
"Roy Trop. Inst., Amsterdam",1
"Col. Prod. Adv. Bureau,Imp.Inst.",1
Roemberpou,1
Moraes S/A; (imported by Michael Hassel),1
Superior Honey Company ,1
Moraes S/A,1
Machado Araujo S/A,1
Guillero Corella,1
 ,1
FRITZCHE BROS. INC,1
Funakubo Enterprises,1
Kent Chemicals Ltd.,1
"New Dimensions Dist, AZ ",1
"Calavo Foods, Inc",1
Swift and Company ,1
Pallares Hermanos S.A.; (Imported by Schroeder Bros of CA),1
Fernand suarez,1
King Chong Hong,1
Fieux,1
H. Marcel Guest Ltd.,1
Schebeningen,1
Talens Series 2,1
Kremer-Pigmente (pigment),1
Edmund Scientific Corp.,1
Istambul,1
Pfennigs,1
Acrilex Tintas Especias,1
Alois K. Diethelm,1
Conservator's Products Company,1
Elmer's,1
IPS Corporation,1
Kindt-Collins Company,1
Spectrum Oil Colours,1
Alchemist,1
Roberson's,1
Gamblin Artists Colors Co.,1
USA Government Printing Office,1
Acrilex Tintas Especiais,1
Arrowhead Mills,1
C. Kreul,1
Imp. Kwan Lee Co.,1
S. Ueba & Co.,1
Kemtec,1
Old Holland Classic OilColours,1
Wacofin / Heinrich Wagner,1
"Conservation Materials, Ltd. (wax)",1
R&F Pigment Sticks,1
Blacksun,1
Golden Artist Colors,1
Alois Martan,1
Stolovsky,1
Bayer AG,1
Ciba-Geigy,1
Bocour Artist Colors,1
Standard Brands Paint Company,1
Omega,1
Roberson,1
Lascaux,1
Brosse-Blaireau,1
Findeisen,1
Prolene by pro arte,1
Midwest,1
Rowney & Co.,1
H. Kuhn,1
ground by Hamilton,1
Reeves & Sons,1
Robertson,1
Allied Corporation,1
Phillips,1
Rockwool Manufacturing Co.,1
ICI Americas,1
David Davis Artist Materials & Services,1
